Sample_ID,Type,Latency_ms,VRAM_Used_MB,RAM_Used_MB
0,Benchmark,1861.54,0.0,3.45
1,Benchmark,798.14,0.0,3.45
2,Benchmark,1930.26,0.0,3.45
3,Benchmark,2520.11,0.0,3.45
4,Benchmark,924.92,0.0,3.45
5,Benchmark,2058.82,0.0,3.45
6,Benchmark,2455.18,0.0,3.45
7,Benchmark,1697.07,0.0,3.45
8,Benchmark,1381.0,0.0,3.45
9,Benchmark,1659.09,0.0,3.45
10,Benchmark,1874.38,0.0,3.45
11,Benchmark,1717.99,0.0,3.45
12,Benchmark,2523.33,0.0,3.45
13,Benchmark,1203.64,0.0,3.45
14,Benchmark,2585.62,0.0,3.45
15,Benchmark,404.97,0.0,3.45
16,Benchmark,2252.03,0.0,3.45
17,Benchmark,1608.4,0.0,3.45
18,Benchmark,505.81,0.0,3.45
19,Benchmark,1008.68,0.0,3.45
20,Benchmark,970.56,0.0,3.45
21,Benchmark,2580.87,0.0,3.45
22,Benchmark,1081.62,0.0,3.45
23,Benchmark,2652.53,0.0,3.45
24,Benchmark,2722.89,0.0,3.45
25,Benchmark,1262.93,0.0,3.45
26,Benchmark,1206.47,0.0,3.45
27,Benchmark,1917.42,0.0,3.45
28,Benchmark,1099.04,0.0,3.45
29,Benchmark,1284.75,0.0,3.45
30,Benchmark,1769.21,0.0,3.45
31,Benchmark,1779.07,0.0,3.45
32,Benchmark,232.2,0.0,3.45
33,Benchmark,77.69,0.0,3.45
34,Benchmark,3897.84,0.0,3.45
35,Benchmark,421.09,0.0,3.45
36,Benchmark,3376.68,0.0,3.45
37,Benchmark,2204.73,0.0,3.45
38,Benchmark,515.21,0.0,3.45
39,Benchmark,2752.9,0.0,3.45
40,Benchmark,1290.88,0.0,3.45
41,Benchmark,439.1,0.0,3.45
42,Benchmark,1057.33,0.0,3.45
43,Benchmark,2264.53,0.0,3.45
44,Benchmark,2210.78,0.0,3.45
45,Benchmark,2088.81,0.0,3.45
46,Benchmark,1783.34,0.0,3.45
47,Benchmark,1968.81,0.0,3.45
48,Benchmark,1708.37,0.0,3.45
49,Benchmark,1509.24,0.0,3.45
50,Benchmark,1036.7,0.0,3.45
51,Benchmark,463.86,0.0,3.45
52,Benchmark,869.23,0.0,3.45
53,Benchmark,523.03,0.0,3.45
54,Benchmark,1326.21,0.0,3.45
55,Benchmark,2292.75,0.0,3.45
56,Benchmark,1207.34,0.0,3.45
57,Benchmark,3312.46,0.0,3.45
58,Benchmark,1578.55,0.0,3.45
59,Benchmark,151.05,0.0,3.45
60,Benchmark,1407.27,0.0,3.45
61,Benchmark,1582.23,0.0,3.45
62,Benchmark,1060.24,0.0,3.45
63,Benchmark,1890.85,0.0,3.45
64,Benchmark,1485.66,0.0,3.45
65,Benchmark,2348.29,0.0,3.45
66,Benchmark,1697.27,0.0,3.45
67,Benchmark,1173.55,0.0,3.45
68,Benchmark,1961.24,0.0,3.45
69,Benchmark,3085.74,0.0,3.45
70,Benchmark,1409.88,0.0,3.45
71,Benchmark,2364.36,0.0,3.45
72,Benchmark,1561.28,0.0,3.45
73,Benchmark,1137.15,0.0,3.45
74,Benchmark,1459.0,0.0,3.45
75,Benchmark,2173.19,0.0,3.45
76,Benchmark,1970.4,0.0,3.45
77,Benchmark,2381.74,0.0,3.45
78,Benchmark,159.33,0.0,3.45
79,Benchmark,1531.5,0.0,3.45
80,Benchmark,1512.23,0.0,3.45
81,Benchmark,2257.95,0.0,3.45
82,Benchmark,2363.58,0.0,3.45
83,Benchmark,181.65,0.0,3.45
84,Benchmark,567.9,0.0,3.45
85,Benchmark,2410.16,0.0,3.45
86,Benchmark,2317.43,0.0,3.45
87,Benchmark,1658.09,0.0,3.45
88,Benchmark,2417.55,0.0,3.45
89,Benchmark,763.11,0.0,3.45
90,Benchmark,1745.51,0.0,3.45
91,Benchmark,1823.84,0.0,3.45
92,Benchmark,2373.05,0.0,3.45
93,Benchmark,890.36,0.0,3.45
94,Benchmark,1710.02,0.0,3.45
95,Benchmark,2372.99,0.0,3.45
96,Benchmark,539.81,0.0,3.45
